City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,afaahiti,-17.75,-149.2833,23.93,80,97,1.54,PF,1698325930
83,raduzhny,62.0961,77.475,-4.45,92,100,7.07,RU,1698325780
84,north bend,43.4065,-124.2243,6.26,100,40,3.6,US,1698325930
85,castillos,-34.1667,-53.8333,15.54,56,0,2.86,UY,1698325931
86,izhmorskiy,56.194,86.6414,7.67,91,100,7.1,RU,1698325931
87,dakhla,23.6848,-15.958,22.32,69,0,8.58,EH,1698325820
88,arraial do cabo,-22.9661,-42.0278,20.92,94,75,8.23,BR,1698325813
89,kill devil hills,36.0307,-75.676,19.43,97,0,0.0,US,1698325931
90,leku,6.8667,38.45,21.02,78,84,2.41,ET,1698325932
91,puerto ayora,-0.7393,-90.3518,23.64,90,98,4.02,EC,1698325932
92,port said,31.2565,32.2841,26.4,74,77,2.48,EG,1698325932
93,kristiansund,63.1115,7.732,8.03,53,0,2.06,NO,1698325932
94,birao,10.2849,22.7882,35.56,27,100,2.81,CF,1698325933
95,salym,60.0625,71.4789,-4.44,92,100,4.36,RU,1698325933
96,pangai,-19.8,-174.35,23.19,76,95,9.32,TO,1698325933
97,rosarito,32.3333,-117.0333,16.9,73,81,1.94,MX,1698325933
98,conde,-7.2597,-34.9075,29.7,62,75,5.14,BR,1698325933
99,saynshand,44.8824,110.1163,10.21,19,4,2.7,MN,1698325932
100,stanley,54.868,-1.6985,9.77,95,75,3.6,GB,1698325934
101,college,64.8569,-147.8028,-11.03,86,40,0.0,US,1698325934
102,cadale,2.7603,46.3222,28.8,73,92,4.6,SO,1698325934
103,alofi,-19.0595,-169.9187,23.19,72,100,8.42,NU,1698325732
104,katsuura,35.1333,140.3,18.34,57,95,0.63,JP,1698325713
105,puerto supe,-10.8167,-77.75,18.87,84,95,2.55,PE,1698325935
106,peace river,56.2501,-117.286,-3.83,86,75,5.66,CA,1698325935
107,laojunmiao,39.8333,97.7333,9.84,22,0,2.7,CN,1698325935
108,isafjordur,66.0755,-23.124,2.02,80,40,1.03,IS,1698325935
109,lompoc,34.6391,-120.4579,12.79,87,0,5.36,US,1698325915
110,kodiak,57.79,-152.4072,6.73,70,100,5.14,US,1698325935
111,hermanus,-34.4187,19.2345,18.72,79,0,4.5,ZA,1698325936
112,puerto deseado,-47.7503,-65.8938,7.0,76,100,15.81,AR,1698325936
113,teknaf,20.8624,92.3058,25.64,81,9,3.22,BD,1698325936
114,siocon,7.7061,122.1353,26.38,83,100,0.78,PH,1698325936
115,karabash,55.4808,60.2157,-2.0,85,32,5.44,RU,1698325739
116,qaqortoq,60.7167,-46.0333,0.84,52,100,2.36,GL,1698325937
117,vadso,70.0744,29.7487,-0.91,86,100,1.54,NO,1698325937
118,harstad,68.799,16.5293,3.12,97,96,1.34,NO,1698325937
119,smithers,54.7804,-127.1743,-9.82,92,0,1.03,CA,1698325937
120,taltal,-25.4,-70.4833,16.3,74,22,1.66,CL,1698325937
121,georgetown,5.4112,100.3354,27.96,89,40,2.06,MY,1698325747
122,labrador city,52.9463,-66.9114,-0.05,86,75,2.57,CA,1698325937
123,hammerfest,70.6634,23.6821,0.25,80,100,0.51,NO,1698325938
124,fale old settlement,-9.3852,-171.2468,27.94,79,100,6.19,TK,1698325938
125,fort bragg,35.139,-79.006,16.57,95,0,0.0,US,1698325938
126,bandarbeyla,9.4942,50.8122,27.4,77,100,4.42,SO,1698325938
127,east london,-33.0153,27.9116,25.52,65,0,6.17,ZA,1698325938
128,sampacho,-33.3839,-64.7221,19.09,65,89,4.14,AR,1698325939
129,chonchi,-42.6128,-73.8092,11.73,88,100,0.69,CL,1698325941
130,tazovsky,67.4667,78.7,-11.34,92,75,3.04,RU,1698325941
131,rahuri,19.3833,74.65,26.23,30,75,3.65,IN,1698325355
132,nahiyat ash shinafiyah,31.5874,44.6602,29.37,31,0,1.17,IQ,1698325941
133,zvishavane,-20.3267,30.0665,29.93,34,0,4.4,ZW,1698325942
134,borogontsy,62.6683,131.1683,-11.85,99,100,0.64,RU,1698325942
135,shingu,33.7333,135.9833,15.15,66,100,2.61,JP,1698325942
136,tofol,5.3248,163.0078,28.85,75,100,4.33,FM,1698325942
137,mount gambier,-37.8333,140.7667,8.02,78,65,2.87,AU,1698325942
138,plettenberg bay,-34.0527,23.3716,22.15,58,95,1.41,ZA,1698325914
139,balsas,-7.5325,-46.0356,33.23,42,50,3.24,BR,1698325942
140,klyuchi,52.2667,79.1667,4.41,65,100,8.97,RU,1698325943
141,nemuro,43.3236,145.575,12.99,80,59,2.04,JP,1698325943
142,tongshan,34.1805,117.1571,20.76,46,100,6.07,CN,1698325765
143,ribeira grande,38.5167,-28.7,19.32,63,40,4.63,PT,1698325651
144,albertina,-22.2008,-46.6158,26.24,58,32,3.73,BR,1698325943
145,mojo,8.6,39.1167,25.16,44,61,7.99,ET,1698325943
146,taro,-8.3862,115.28,23.0,93,7,0.15,ID,1698325944
147,esmeraldas,-19.7625,-44.3139,29.3,50,9,2.83,BR,1698325917
148,keflavik,64.0049,-22.5624,8.24,81,0,3.09,IS,1698325675
149,palmer,42.1584,-72.3287,17.18,90,75,0.0,US,1698325862
150,trairi,-3.2778,-39.2689,30.56,52,12,5.41,BR,1698325944
151,arno,60.1167,18.6333,3.21,79,100,4.5,SE,1698325945
152,polyarnyy,69.1989,33.4478,-2.9,89,100,3.97,RU,1698325945
153,naze,28.3667,129.4833,20.36,60,100,3.78,JP,1698325945
154,hastings,50.8552,0.5729,16.66,28,7,7.17,GB,1698325872
155,akdagmadeni,39.6603,35.8836,20.6,30,100,5.14,TR,1698325946
156,richards bay,-28.783,32.0377,26.63,58,5,7.25,ZA,1698325866
157,fortuna,40.5982,-124.1573,4.64,97,0,3.6,US,1698325946
158,calvinia,-31.4707,19.776,30.17,10,99,7.89,ZA,1698325946
159,happy valley-goose bay,53.3168,-60.3315,5.17,87,75,6.69,CA,1698325947
160,nar'yan-mar,67.6713,53.087,-8.27,97,92,1.34,RU,1698325947
161,abadeh,31.1608,52.6506,14.04,56,100,0.37,IR,1698325947
162,turbat,26.0023,63.044,33.29,24,100,4.5,PK,1698325948
163,armacao de buzios,-22.7469,-41.8817,21.03,82,57,4.12,BR,1698325948
164,ancud,-41.8697,-73.8203,11.19,78,23,3.3,CL,1698325836
165,carnarvon,-24.8667,113.6333,20.93,77,5,9.63,AU,1698325948
166,sitka,57.0531,-135.33,3.94,52,0,0.0,US,1698325949
167,illizi,26.4833,8.4667,33.5,14,0,4.08,DZ,1698325924
168,yangambi,0.8102,24.4336,25.9,70,100,1.76,CD,1698325949
169,ponneri,13.3167,80.2,29.99,73,29,4.92,IN,1698325949
170,sheregesh,52.9209,87.9869,11.64,66,100,3.8,RU,1698325949
171,hirara,24.8,125.2833,24.55,76,58,5.56,JP,1698325950
172,undurkhaan,47.3194,110.6556,6.37,32,89,2.31,MN,1698325950
173,sheringham,52.9408,1.2093,12.28,93,100,7.12,GB,1698325950
174,segezha,63.7415,34.3222,-1.3,77,47,2.82,RU,1698325800
175,manismata,-2.4667,111.0333,26.0,80,93,1.21,ID,1698325951
176,kalmunai,7.4167,81.8167,26.88,75,23,2.72,LK,1698325952
177,hithadhoo,-0.6,73.0833,27.41,80,15,7.68,MV,1698325952
178,ta`u,-14.2336,-169.5144,26.22,79,100,7.81,AS,1698325952
179,strezhevoy,60.7333,77.5889,-0.58,73,100,1.34,RU,1698325953
180,malangali,-8.5667,34.85,30.65,26,37,6.95,TZ,1698325846
181,nacala,-14.5428,40.6728,30.48,59,0,5.03,MZ,1698325804
182,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,78,2,2.68,RU,1698325953
183,at taj,24.2049,23.2857,30.19,16,100,2.02,LY,1698325873
184,nuku'alofa,-21.1333,-175.2,22.19,78,20,5.66,TO,1698325953
